"Variant SKU","Selling Price",LandingPage
R&GOWHIM-100B,19.00,https://fragrancebuy.ca/products/rogergalletopenwhite-man?variant=39860789706814
TBMARJOUREDCM-100B,35.95,https://fragrancebuy.ca/products/tommybahamasmaritimejourney-man?variant=39860759625790
TLBLUEEDTM-100B,21.00,https://fragrancebuy.ca/products/bluebytedlapidus-man?variant=39860733837374
ARMCCHABLM-100B,25.00,https://fragrancebuy.ca/products/cosmochangeblue-man?variant=39860674461758
COADRSNM-90B,79.95,https://fragrancebuy.ca/products/coachdreamssunset-woman?variant=39860632682558
DUNNFEDPM-100B,79.95,https://fragrancebuy.ca/products/dunhillnordicfougere-man?variant=39860608204862
ELECPURITM-100B,249.00,https://fragrancebuy.ca/products/electimusspuritasforman?variant=39857529749566
ELECTIMCELM-100B,249.00,https://fragrancebuy.ca/products/electimusscelestial-man?variant=39857529159742
YSLLEVAGEDPM-125B,249.00,https://fragrancebuy.ca/products/yvessaintlaurentlevestiaireatlasgarden-man?variant=39840347848766
MOPHOEDPM-100B,139.95,https://fragrancebuy.ca/products/monclerpourhomme-man?variant=39840343261246
MOPHOEDPM-150B,214.95,https://fragrancebuy.ca/products/monclerpourhomme-man?variant=39840346603582
MONPHEDPM-60B,99.00,https://fragrancebuy.ca/products/monclerpourhomme-man?variant=39840337625150
MOMOEDPW-100B,136.95,https://fragrancebuy.ca/products/monclerbymoncler-woman?variant=39840333201470
MOMOEDPW-150B,214.95,https://fragrancebuy.ca/products/monclerbymoncler-woman?variant=39840335822910
MOPFEDPW-100T,125.00,https://fragrancebuy.ca/products/monclerbymoncler-woman?variant=39840336379966
ORJNTSRNM-120B,209.95,https://fragrancebuy.ca/products/ormondejaynetsarina-man?variant=39840284344382
ORJNBBLNW-50B,139.95,https://fragrancebuy.ca/products/ormondejaynebabylonia-woman?variant=39840280903742
ORJNMUSCM-50B,139.95,https://fragrancebuy.ca/products/ormondejaynemuscat-man?variant=39840278118462
ORJNBYZM-50B,159.00,https://fragrancebuy.ca/products/ormondejaynebyzance-man?variant=39840275693630
ORJNXINM-50B,149.00,https://fragrancebuy.ca/products/ormondejaynexian-man?variant=39840271466558
ORJNINDSM-50B,149.00,https://fragrancebuy.ca/products/ormondejayneindus-man?variant=39840269631550
ORJNCHCM-120B,159.95,https://fragrancebuy.ca/products/ormondejaynechampaca-man?variant=39840252493886
LATHAYBLKEDPM-100B,24.45,https://fragrancebuy.ca/products/lattafahayatiblack-man?variant=39837125050430
ORJNFRM-120B,159.95,https://fragrancebuy.ca/products/ormondejaynefrangipani-man?variant=39837111353406
ALHDNOROM-100B,37.95,https://fragrancebuy.ca/products/alharamaindetournoirrougeedition-man?variant=39825255432254
LASASFEEDPM-100B,31.95,https://fragrancebuy.ca/products/lattafasheikhalshuyukhfinaledition-man?variant=39825247731774
LATVREDPW-100B,29.95,https://fragrancebuy.ca/products/lattafavelvetrose-man?variant=39825243668542
LATRSEDPM-100B,24.95,https://fragrancebuy.ca/products/lattafaraedsilver-man?variant=39825240948798
LATOMREDPM-100B,25.00,https://fragrancebuy.ca/products/lattafaoudmoodreminiscence-man?variant=39825238491198
LATQIEDPM-100B,19.45,https://fragrancebuy.ca/products/lattafaqimmah-man?variant=39825236459582
EXNIHMIEDPM-100B,279.00,https://fragrancebuy.ca/products/exnihilomuscinfini-man?variant=39825230561342
OPCUIM-50T,179.00,https://fragrancebuy.ca/products/ortoparisicuoium-man?variant=39825221517374
EXNIHCO352M-100B,289.00,https://fragrancebuy.ca/products/exnihilocologne352-man?variant=39825215094846
EXNIHRHUEDPM-100B,259.00,https://fragrancebuy.ca/products/exnihilorosehubris-man?variant=39825209163838
EXNIHOVEDPM-100B,289.00,https://fragrancebuy.ca/products/exnihilooudvendome-man?variant=39825194811454
EXNIHAFEDPM-100B,419.00,https://fragrancebuy.ca/products/exnihiloatlasfever-man?variant=39825187176510
EXNJFEDPM-100B,269.95,https://fragrancebuy.ca/products/exnihilojasminfauve-man?variant=39825178689598
EXNIHGIMEDPM-100B,339.95,https://fragrancebuy.ca/products/exnihilogoldimmortals-man?variant=39825171185726
EXNIHCIXEDPM-100B,289.00,https://fragrancebuy.ca/products/exnihilocitizenx-man?variant=39825154113598
EXNIHLSEDPM-100B,289.00,https://fragrancebuy.ca/products/exnihiloloveshot-man?variant=39825132093502
EXNIHEXEDPM-100B,299.00,https://fragrancebuy.ca/products/exnihiloexplicite-man?variant=39825117020222
EXNIHASKEDPM-100B,419.00,https://fragrancebuy.ca/products/exnihiloambersky-man?variant=39825107058750
EXNIHMSPEDPM-100B,419.00,https://fragrancebuy.ca/products/exnihilomidnightspecial-man?variant=39825099948094
EXNIHFAEDPM-100B,289.00,https://fragrancebuy.ca/products/exnihilofrenchaffair-man?variant=39825093525566
