ourCustomSKU,competitor_price,updated_at_est_time,tags
CLIMW-100B,81.95,2022-10-16 13:26,"Black-Friday, cf-type-women, perfume, PREXMAS21, Update10"
CHOPAGRM-100B,197.95,2022-07-08 15:55,"3MAYY2021, Update18"
JULGMCW-50B,81.15,2022-05-26 11:15,"26MAY223, BLACKFRIDAY2021, NS6MAY, NSPRICE9AUG6, PM21J, PRICE2SEP, Update2, Update5, Update9"
DIEOTBM-50B,54.35,2022-10-12 14:44,"22OCCT2020, 26MAY223, 26MAY228, BLACKFRIDAY2021, NS20JULY22, NSPRICE9AUG5, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update14, Update21, Update6, Update9"
RYLCRWNOORW-100B,299.95,2022-09-03 9:05,"13JULYY, 26MAY228, NS29AUG22, Update23"
CHAEW-100B,57.95,2019-10-24 14:31,"cf-type-women, perfume"
BIJW-75B,31.05,2022-10-10 6:25,"NSPRICE9AUG2, PM21J, Price170, Update3"
ARMENOIEDPM-100B,39.95,2022-08-31 13:29,"10OCT2020, PM21J"
MONBPW-75B,28,2022-10-21 20:17,"BLACKFRIDAY2021, NSPRICE9AUG1, PM21J, PREXMAS21, PRICESHEET1, Update2"
ADIFIM-100B,12.95,2019-02-04 0:35,"cf-type-men, perfume"
MARCLPW-100B,26.05,2022-10-14 17:02,"BLACKFRIDAY2021, NP17JUN22N, NSPRICE9AUG1, PM21J1, PRICESHEET1, Update1"
HANMHIMM-100B,46.95,2020-09-02 10:11,PRICE2SEP
ARMEDW-100B,24.75,2022-08-10 19:36,"30novv2019, Update3"
GUEMNW-125B,155.55,2022-10-22 13:27,"24octt2019, 26MAY229, BLACKFRIDAY2021, NSPRICE9AUG8, PM21J, Update23"
JUSCM-60B,27,2022-08-25 16:01,"BLACKFRIDAY2021, cf-type-men, perfume, PREXMAS21, Update21"
VERFM-50B,45.95,2022-09-08 0:27,"26MAY221, 26MAY222, 26MAY228, BLACKFRIDAY2021, missingimageaj, NS19AUG22, NS7MAY, NSPRICE19OCT22, NSPRICE9AUG4, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update21, Update22"
SWIAWAJM-50B,49.25,2022-09-30 18:56,"11JANN2021, 26MAY225, 9NOVV2020, NS19JULY22, NSPRICE9AUG10, Update20, Update6"
DIREM-100B,41.25,2022-10-06 23:26,"9MARR21, BLACKFRIDAY2021, NS2AUG22, NSPRICE9AUG1, PM21J, PREXMAS21, PRICESHEET1, Update15"
AFN9AMM-100B,34.45,2022-10-22 22:31,"26MAY225, 27JUN2020, 28JUN2020, BLACKFRIDAY2021, NS11aug22, NS29AUG22, NSPRICE20OCT22"
BLACKOPIW-90T,129.95,2022-08-13 1:08,"22JUN2020, 26MAY221, 26MAY22110, 28jun2020, Black-Friday, BLACKFRIDAY2021, cf-type-women, missingimageaj, NP19JUN22, NS19AUG22, NS25AUG22, NSPRICE19OCT22, NSPRICE23SEP22, perfume, PM21J, PO123, Update11, Update4"
CLEANBLOW-60T,41.45,2022-05-26 11:13,"26MAY224, BLACKFRIDAY2021, MAYPRODUCT, NSPRICE9AUG7, PM21J, Update10, Update5"
MUGTAKMOM-100T,49.25,2022-09-08 0:27,"1OCT2020, 26MAY225, 26MAY229, 27JUN2020, 28JUN2020, BLACKFRIDAY2021, NSPRICE9AUG9, PM21J, PM21J1, Update22, Update4"
ARMLFW-100B,28.35,2022-10-21 13:37,"NS15JUL22, NS17MAY22, NS2AUG22, NSPRICE7OCT22, NSPRICE9AUG5, PRICE2SEP"
BURWW-100B,41.65,2022-10-18 10:25,"11JANN2021, 19FEBB22, 26MAY222, BLACKFRIDAY2021, NS19AUG22, PM21J, PREXMAS21, PRICE2SEP, Update2, Update4"
JOMALENGHM-100B,154.45,2021-11-19 12:02,"15DECC2019, PM21J1"
USHW-100B,28.65,2022-10-06 13:24,"26MAY228, BLACKFRIDAY2021, NSPRICE9AUG4, PM21J1, PRICE2SEP, Update21"
RICRW-80B,76.95,2022-08-29 10:52,"NSPRICE19OCT22, PRICE2SEP"
ARADM-110B,28.45,2022-07-13 17:10,"26MAY227, Price170"
OPEM-100B,19.55,2022-05-20 2:17,"BLACKFRIDAY2021, PM21J, PREXMAS21, PRICESHEET1, Update1"
KENJW-50B,66.05,2022-01-24 11:45,"20julyy2021aj, 26MAY227, BLACKFRIDAY2021, PREXMAS21, Update22"
ROBCULANOTM-100B,126.95,2021-10-17 22:04,1DECC2020
MANCAOULMM-60B,92.95,2021-06-21 21:10,"19MAYY2020, 25MAYY2021, cf-type-unisex, NP16JUN22, NP18JUN22, NS11aug22, NS29AUG22, NSPRICE7OCT22, perfume"
DIA&SW-100B,17.35,2022-07-15 17:13,"26MAY222, 5DECC21, BLACKFRIDAY2021, NSPRICE9AUG4, PM21J, PRICE2SEP, Update1, Update4"
BURBEATW-75B,50.95,2022-08-23 17:25,"PM21J, PRICE2SEP"
GUCGUIEW-75T,59.95,2021-02-08 6:14,Price170
ALIENMANM-100B,63.15,2022-09-14 16:54,"25novv2019, 26MAY224, 3NOVV2019, AUG12, BLACKFRIDAY2021, NSPRICE9AUG7, PM21J, PREXMAS21, Update2, Update9"
ANNSDGIW-30T,29.95,2019-11-04 12:49,"cf-type-women, perfume"
SALFM-50B,25.95,2022-07-01 1:16,"NSPRICE26SEP22, PRICE2SEP, Update6, Update7"
BIJM-75B,20.85,2022-10-10 6:25,"26MAY221, BLACKFRIDAY2021, PRICESHEET1, Update1"
EDHLLW-50B,18.45,2021-02-08 6:09,"26MAY221, BLACKFRIDAY2021, NP18JUN222, NS11MAY2022, NS19JULY22, NSPRICE9AUG1, PM21J1, PREXMAS21, PRICESHEET1, Update2"
HANMHIM-50B,30.95,2021-11-08 21:23,PRICE2SEP
VIVLJGW-100B,69.15,2022-10-21 5:57,"BLACKFRIDAY2021, NSPRICE9AUG4, PM21J, PREXMAS21, PRICE2SEP, Update14"
CATM-100B,199.95,2022-08-23 18:00,"cf-type-men, perfume"
LALENM-100T,35.95,2022-10-21 22:47,"19OCTT21, 26MAY222, 26MAY228, BLACKFRIDAY2021, NS20JULY22, NSPRICE19OCT22, NSPRICE9AUG4, PREXMAS21, PRICE2SEP, Update4, Update9"
ALHAMBAOGOLM-120B,99.95,2022-10-21 9:37,"02JULY2020, 12DECC2020, 25novv2019, 28jun2020, BLACKFRIDAY2021, NP19JUN22, NS2AUG22, NSPRICE20OCT22, NSPRICE21OCT22, NSPRICE9AUG8, PM21J, PM21J1, Update18"
BVLMEM-100B,105.95,2022-04-04 9:45,"31MAYY2020, cf-type-men, LAND17MAR, perfume, PM21J"
VERWM-50B,21.95,2022-01-12 10:04,"BLACKFRIDAY2021, PM21J, PRICE2SEP, Update3"
DIEFFLM-120B,52.55,2022-10-15 2:44,"20julyy2021aj, 26MAY222, 26MAY227, BLACKFRIDAY2021, NP19JUN22, NSPRICE9AUG4, PREXMAS21, Update22, Update4, Update8"
ORMJMPM-120B,296.95,2022-09-21 15:40,"27JUN2020, 27OCTT2021, 28JUN2020, NS11aug22, NSPRICE9AUG9, Update19"
AJMAMPIMM-100B,33.65,2022-04-11 10:46,"25JANN2020, IMAGESFILTER, Update4"
CLEANULTW-60B,49.55,2022-02-21 7:25,"14octt2019, 14octtt2019, 25JANN2020, BLACKFRIDAY2021, NS20JULY22, Update1, Update5, Update6"
CLEANCOOCW-60T,41.45,2022-08-28 10:30,"14octt2019, 26MAY224, BLACKFRIDAY2021, MAYPRODUCT, NSPRICE9AUG7, PM21J, Update11, Update6"
XER40KNOTSM-50B,173.55,2022-10-16 5:52,"1 JULY 2020, 19MAYY2020, 28jun2020, NSPRICE19OCT22, NSPRICE9AUG9, Update18, Update19"
NASBAM-30T,139.95,2022-10-15 8:11,"02JULY2020, 24octt2019, 26MAY229, 28jun2020, BLACKFRIDAY2021, NP15JULY, NSPRICE9AUG8, PM21J, Update19, Update23"
MASMATEEDPM-35B,137.95,2022-09-08 0:24,"25novv2019, 26MAY22110, NS23MAR22, NSPRICE9AUG8"
MONTPURLOVW-100B,93.95,2022-10-03 14:33,"19OCTT21, 26MAY229, 3SEP2020, NS21APR22, NSPRICE9AUG10, Update10, Update6"
FANDFM-50B,64.95,2020-11-18 11:58,"cf-type-men, perfume"
REVJNATEM-850B,23.95,2022-10-22 4:48,"1DECC2020, cf-type-men, NS15JUL22, NS19AUG22, perfume"
